"Practice Area","Type of Work","Estimation Fees (RM)"
"Civil","Case Merits Review","5000 - 25000"
"Civil","Strategic Legal Audit","60000 - 80000"
"Civil","Settlement Strategy Advisory","25000 - 40000"
"Civil","Demand Letter and Reply","3000 - 10000"
"Civil","Due Diligence on Documents","10000 - 250000"
"Civil","Mediation and Negotiation Support","10000 - 250000"
"Civil","Court Process Planning","3000 - 30000"
"Civil","Legal Correspondence Templates","3000 - 10000"
"Civil","Internal Rules and Claim SOP","3000 - 10000"
"Civil","Settlement Agreement","15000 - 25000"
"Civil","Collaboration Agreement","15000 - 25000"
"Civil","Service Agreement","10000 - 25000"
"Civil","Employment Related Settlement Agreement","3000 - 25000"
"Civil","Consumer or Supplier Agreement","15000 - 25000"
"Civil","Loan or Payment Arrangement Agreement","15000 - 25000"
"Civil","Joint Venture or Cooperation Terms","120000 - 180000"
"Civil","Licensing or Usage Agreement","10000 - 25000"
"Civil","Memorandum of Understanding","15000 - 25000"
"Civil","Memorandum of Agreement","15000 - 25000"
"Civil","Non Disclosure Agreement","3000 - 25000"
"Civil","Partnership Agreement","5000 - 25000"
"Civil","Property Management Agreement","15000 - 25000"
"Civil","Sale and Purchase Agreement","15000 - 25000"
"Civil","Shareholder or Ownership Agreement","10000 - 25000"
"Civil","Sponsorship Agreement","10000 - 50000"
"Civil","Tenancy and Lease Agreement","5000 - 25000"
"Civil","Warranty and Indemnity Agreement","15000 - 25000"
"Civil","Ad hoc Basis","Hourly"
"Civil","Elite Retainer Package","20000 per month"
"Civil","Premium Retainer Package","15000 per month"
"Civil","Essential Retainer Package","10000 per month"
"Civil","Standard Retainer Package","RMXXX.00 per month"
"Civil","Partner Contact","N/A"
"Civil","Senior Associate Contact","N/A"
"Civil","Associate Contact","N/A"
"Corporate","Company Incorporation Structuring and Restructuring","5000 - 25000"
"Corporate","Strategic Audit","60000 - 80000"
"Corporate","Company and Business Valuation","25000 - 40000"
"Corporate","Business Administration and Finance Advisory","3000 - 10000"
"Corporate","Due Diligence Exercise","10000 - 250000"
"Corporate","Merger and Acquisitions","10000 - 250000"
"Corporate","Standard Operating Procedures","3000 - 30000"
"Corporate","Correspondence and Business Document Templates","3000 - 10000"
"Corporate","Internal Rules and Guidelines","3000 - 10000"
"Corporate","Acquisition Agreement","15000 - 25000"
"Corporate","Collaboration Agreement","15000 - 25000"
"Corporate","Distributors Agreement","10000 - 25000"
"Corporate","Employment Agreement","3000 - 25000"
"Corporate","Franchise Agreement","15000 - 25000"
"Corporate","Investment Agreement","15000 - 25000"
"Corporate","Joint Venture Agreement","120000 - 180000"
"Corporate","Licensing Agreement","10000 - 25000"
"Corporate","Memorandum of Understanding","15000 - 25000"
"Corporate","Memorandum of Agreement","15000 - 25000"
"Corporate","Non Disclosure Agreement","3000 - 25000"
"Corporate","Partnership Agreement","5000 - 25000"
"Corporate","Property Management Agreement","15000 - 25000"
"Corporate","Sale and Purchase Agreement","15000 - 25000"
"Corporate","Shareholder Agreement","10000 - 25000"
"Corporate","Sponsorship Agreement","10000 - 50000"
"Corporate","Tenancy and Lease Agreement","5000 - 25000"
"Corporate","Warranty Agreement","15000 - 25000"
"Corporate","Ad hoc Basis","Hourly"
"Corporate","Elite Retainer Package","20000 per month"
"Corporate","Premium Retainer Package","15000 per month"
"Corporate","Essential Retainer Package","10000 per month"
"Corporate","Standard Retainer Package","RMXXX.00 per month"
"Corporate","Partner Contact","N/A"
"Corporate","Senior Associate Contact","N/A"
"Corporate","Associate Contact","N/A"
"Criminal","Initial Case Assessment","5000 - 25000"
"Criminal","Police Statement and Interview Advisory","60000 - 80000"
"Criminal","Bail Strategy and Application Preparation","25000 - 40000"
"Criminal","Remand Hearing Support","3000 - 10000"
"Criminal","Evidence Review and Case Analysis","10000 - 250000"
"Criminal","Plea Bargain and Mitigation Advisory","10000 - 250000"
"Criminal","Trial Strategy Planning","3000 - 30000"
"Criminal","Legal Correspondence and Representations","3000 - 10000"
"Criminal","Compliance and Internal Investigation Advisory","3000 - 10000"
"Criminal","Plea Representation Document","15000 - 25000"
"Criminal","Witness Statement Pack","15000 - 25000"
"Criminal","Mitigation Submission","10000 - 25000"
"Criminal","Bail Affidavit and Supporting Documents","3000 - 25000"
"Criminal","Forensic Expert Engagement Terms","15000 - 25000"
"Criminal","Investigation Support Lettering","15000 - 25000"
"Criminal","Corporate Investigation Protocol","120000 - 180000"
"Criminal","Confidentiality and Information Control Terms","10000 - 25000"
"Criminal","Memorandum of Understanding","15000 - 25000"
"Criminal","Memorandum of Agreement","15000 - 25000"
"Criminal","Non Disclosure Agreement","3000 - 25000"
"Criminal","Partnership Agreement for Defense Team","5000 - 25000"
"Criminal","Property Management Agreement for Seized Assets","15000 - 25000"
"Criminal","Sale and Purchase Agreement for Evidence Sensitive Disposal","15000 - 25000"
"Criminal","Shareholder Agreement for Risk Governance","10000 - 25000"
"Criminal","Sponsorship Agreement","10000 - 50000"
"Criminal","Tenancy and Lease Agreement","5000 - 25000"
"Criminal","Warranty Agreement","15000 - 25000"
"Criminal","Ad hoc Basis","Hourly"
"Criminal","Elite Retainer Package","20000 per month"
"Criminal","Premium Retainer Package","15000 per month"
"Criminal","Essential Retainer Package","10000 per month"
"Criminal","Standard Retainer Package","RMXXX.00 per month"
"Criminal","Partner Contact","N/A"
"Criminal","Senior Associate Contact","N/A"
"Criminal","Associate Contact","N/A"
